frame,time,type,name,concentration
0,0.0,topo,topoI,0.25
0,0.0,topo,gyrase,0.25
0,0.0,RNAP,RNAP,1.0
1,0.25,topo,topoI,0.25
1,0.25,topo,gyrase,0.25
1,0.25,RNAP,RNAP,1.0
2,0.5,topo,topoI,0.25
2,0.5,topo,gyrase,0.25
2,0.5,RNAP,RNAP,1.0
3,0.75,topo,topoI,0.25
3,0.75,topo,gyrase,0.25
3,0.75,RNAP,RNAP,1.0
4,1.0,topo,topoI,0.25
4,1.0,topo,gyrase,0.25
4,1.0,RNAP,RNAP,1.0
5,1.25,topo,topoI,0.25
5,1.25,topo,gyrase,0.25
5,1.25,RNAP,RNAP,1.0
6,1.5,topo,topoI,0.25
6,1.5,topo,gyrase,0.25
6,1.5,RNAP,RNAP,1.0
7,1.75,topo,topoI,0.25
7,1.75,topo,gyrase,0.25
7,1.75,RNAP,RNAP,1.0
8,2.0,topo,topoI,0.25
8,2.0,topo,gyrase,0.25
8,2.0,RNAP,RNAP,1.0
9,2.25,topo,topoI,0.25
9,2.25,topo,gyrase,0.25
9,2.25,RNAP,RNAP,1.0
10,2.5,topo,topoI,0.25
10,2.5,topo,gyrase,0.25
10,2.5,RNAP,RNAP,1.0
11,2.75,topo,topoI,0.25
11,2.75,topo,gyrase,0.25
11,2.75,RNAP,RNAP,1.0
12,3.0,topo,topoI,0.25
12,3.0,topo,gyrase,0.25
12,3.0,RNAP,RNAP,1.0
13,3.25,topo,topoI,0.25
13,3.25,topo,gyrase,0.25
13,3.25,RNAP,RNAP,1.0
14,3.5,topo,topoI,0.25
14,3.5,topo,gyrase,0.25
14,3.5,RNAP,RNAP,1.0
15,3.75,topo,topoI,0.25
15,3.75,topo,gyrase,0.25
15,3.75,RNAP,RNAP,1.0
16,4.0,topo,topoI,0.25
16,4.0,topo,gyrase,0.25
16,4.0,RNAP,RNAP,1.0
17,4.25,topo,topoI,0.25
17,4.25,topo,gyrase,0.25
17,4.25,RNAP,RNAP,1.0
18,4.5,topo,topoI,0.25
18,4.5,topo,gyrase,0.25
18,4.5,RNAP,RNAP,1.0
19,4.75,topo,topoI,0.25
19,4.75,topo,gyrase,0.25
19,4.75,RNAP,RNAP,1.0
20,5.0,topo,topoI,0.25
20,5.0,topo,gyrase,0.25
20,5.0,RNAP,RNAP,1.0
21,5.25,topo,topoI,0.25
21,5.25,topo,gyrase,0.25
21,5.25,RNAP,RNAP,1.0
22,5.5,topo,topoI,0.25
22,5.5,topo,gyrase,0.25
22,5.5,RNAP,RNAP,1.0
23,5.75,topo,topoI,0.25
23,5.75,topo,gyrase,0.25
23,5.75,RNAP,RNAP,1.0
24,6.0,topo,topoI,0.25
24,6.0,topo,gyrase,0.25
24,6.0,RNAP,RNAP,1.0
25,6.25,topo,topoI,0.25
25,6.25,topo,gyrase,0.25
25,6.25,RNAP,RNAP,1.0
26,6.5,topo,topoI,0.25
26,6.5,topo,gyrase,0.25
26,6.5,RNAP,RNAP,1.0
27,6.75,topo,topoI,0.25
27,6.75,topo,gyrase,0.25
27,6.75,RNAP,RNAP,1.0
28,7.0,topo,topoI,0.25
28,7.0,topo,gyrase,0.25
28,7.0,RNAP,RNAP,1.0
29,7.25,topo,topoI,0.25
29,7.25,topo,gyrase,0.25
29,7.25,RNAP,RNAP,1.0
30,7.5,topo,topoI,0.25
30,7.5,topo,gyrase,0.25
30,7.5,RNAP,RNAP,1.0
31,7.75,topo,topoI,0.25
31,7.75,topo,gyrase,0.25
31,7.75,RNAP,RNAP,1.0
32,8.0,topo,topoI,0.25
32,8.0,topo,gyrase,0.25
32,8.0,RNAP,RNAP,1.0
33,8.25,topo,topoI,0.25
33,8.25,topo,gyrase,0.25
33,8.25,RNAP,RNAP,1.0
34,8.5,topo,topoI,0.25
34,8.5,topo,gyrase,0.25
34,8.5,RNAP,RNAP,1.0
35,8.75,topo,topoI,0.25
35,8.75,topo,gyrase,0.25
35,8.75,RNAP,RNAP,1.0
36,9.0,topo,topoI,0.25
36,9.0,topo,gyrase,0.25
36,9.0,RNAP,RNAP,1.0
